,name,age,from_team,to_team,avg_salary,year_fa,IDfg,first_played,last_played,pos_1B,pos_2B,pos_3B,pos_C,pos_DH,pos_SS
280,John Baker,33.0,LAD,CHC,875000.0,2014,4756,2008.0,2014.0,0,0,0,1,0,0
281,John Jaso,32.2,TB,PIT,4000000.0,2016,5887,2008.0,2017.0,0,0,0,0,0,0
282,John McDonald,39.2,BOS,LAA,850000.0,2014,395,1999.0,2014.0,0,0,0,0,0,1
283,Johnny Damon,38.4,TB,CLE,1250000.0,2012,185,1995.0,2012.0,0,0,0,0,0,0
284,Jon Jay,33.8,ARI,CHW,4000000.0,2019,5227,2010.0,2021.0,0,0,0,0,0,0
285,Jon Jay,31.7,SD,CHC,8000000.0,2017,5227,2010.0,2021.0,0,0,0,0,0,0
286,Jonathan Herrera,30.1,BOS,CHC,900000.0,2015,4182,2008.0,2015.0,0,0,0,0,0,1
287,Jonathan Lucroy,31.7,COL,OAK,6500000.0,2018,7870,2010.0,2021.0,0,0,0,1,0,0
288,Jonathan Schoop,28.2,MIN,DET,6100000.0,2020,11265,2013.0,2021.0,0,1,0,0,0,0
289,Jonathan Schoop,27.1,MIL,MIN,7500000.0,2019,11265,2013.0,2021.0,0,1,0,0,0,0
290,Jonathan Schoop,29.2,DET,DET,4500000.0,2021,11265,2013.0,2021.0,0,1,0,0,0,0
291,Jonathan Villar,29.8,TOR,NYM,3550000.0,2021,10071,2013.0,2021.0,0,0,0,0,0,1
292,Jonny Gomes,34.2,OAK,ATL,4000000.0,2015,1845,2003.0,2015.0,0,0,0,0,0,0
293,Jonny Gomes,32.0,OAK,BOS,5000000.0,2013,1845,2003.0,2015.0,0,0,0,0,0,0
294,Jonny Gomes,31.1,WSH,OAK,1000000.0,2012,1845,2003.0,2015.0,0,0,0,0,0,0
295,Jordan Pacheco,28.8,ARI,ARI,900000.0,2015,2677,2011.0,2016.0,0,0,1,0,0,0
296,Jordan Pacheco,29.9,ARI,CIN,800000.0,2016,2677,2011.0,2016.0,0,0,1,0,0,0
297,Jordy Mercer,32.2,PIT,DET,5250000.0,2019,6547,2012.0,2021.0,0,0,0,0,0,1
298,Jose Bautista,36.2,TOR,TOR,18500000.0,2017,1887,2004.0,2018.0,0,0,0,0,0,0
